customer_id,disbursed_amount,interest,market,employment,time_employed,householder,income,date_issued,target,loan_purpose,number_open_accounts,date_last_payment,number_credit_lines_12
0,23201.5,15.484,C,Teacher,<=5 years,RENT,84600,2013-06-11,0,Debt consolidation,4,2016-01-14,
1,7425,11.2032,B,Accountant,<=5 years,OWNER,102000,2014-05-08,0,Car purchase,13,2016-01-25,
2,11150,8.51,A,Statistician,<=5 years,RENT,69840,2013-10-26,0,Debt consolidation,8,2014-09-26,
3,7600,5.8656,A,Other,<=5 years,RENT,100386,2015-08-20,0,Debt consolidation,20,2016-01-26,
4,31960,18.7392,E,Bus driver,>5 years,RENT,95040,2014-07-22,0,Debt consolidation,14,2016-01-11,
5,8288.75,15.2448,C,Statistician,>5 years,MORTGAGE,41587,2013-08-21,0,Debt consolidation,5,2015-01-10,
6,27900,16.967,D,Secretary,>5 years,RENT,172050,2015-09-27,0,Other,9,2016-01-02,
7,9100,16.55,D,Software developer,<=5 years,RENT,47500,2015-03-20,0,Home improvements,14,2016-01-10,
8,9996,25.5717,E,Statistician,>5 years,RENT,35520,2014-02-14,1,Moving home,9,2015-08-01,
9,16380,8.544,A,Nurse,>5 years,RENT,38000,2013-12-25,0,Debt consolidation,9,2016-01-08,
10,21840,9.8952,B,Accountant,>5 years,MORTGAGE,61875,2015-11-22,0,Debt consolidation,13,2016-01-08,
11,11400,7.426,A,Taxi driver,>5 years,MORTGAGE,85750,2014-04-04,0,Debt consolidation,18,2016-01-20,
12,19008,16.1405,D,Other,>5 years,RENT,60450,2015-10-26,0,Other,16,2015-12-18,
13,31850,19.7306,E,,,MORTGAGE,81700,2015-11-13,0,Debt consolidation,17,2016-01-26,
14,4560,10.6603,B,Taxi driver,<=5 years,MORTGAGE,30070,2015-04-23,0,Other,9,2016-01-03,
15,15792,8.9931,B,Accountant,<=5 years,RENT,85560,2014-02-19,0,Debt consolidation,12,2015-12-06,
16,7680,10.868,B,Secretary,>5 years,MORTGAGE,141120,2015-01-08,0,Debt consolidation,8,2015-12-26,
17,9300,10.6076,B,,,MORTGAGE,59400,2015-06-19,0,Home improvements,14,2016-01-17,
